,bpm,ibi,sdnn,sdsd,rmssd,pnn20,pnn50,hr_mad,sd1,sd2,s,sd1/sd2,breathingrate,vlf,lf,hf,lf/hf,p_total,vlf_perc,lf_perc,hf_perc,lf_nu,hf_nu
baseline_C1,64.1573994867408,935.2,75.61587134986941,30.824316767044888,55.72299912584522,0.7368421052631579,0.42105263157894735,62.0,38.17658344516579,93.14766521296194,11171.690758205843,0.4098501380349503,0.26732249786142004,0.0,634.0215871723992,1309.6769555665483,0.4841053242004477,1943.6985427389475,0.0,32.619337476014806,67.3806625239852,32.619337476014806,67.3806625239852
C1,67.14530709531145,893.5844155844156,72.96088330781589,27.086537787258212,50.45273293756806,0.7304347826086957,0.3652173913043478,46.0,35.6747441812938,96.93297062378132,10863.812529340034,0.3680351891799078,0.13333333333333333,1248.640563635698,1545.503307034047,1341.29759453638,1.1522448957856,4135.441465206126,30.1936461715451,37.37214805329165,32.43420577516323,53.53688597621295,46.46311402378704
baseline_C2,64.07518154634772,936.4,92.14466886369499,29.956940473761275,59.10205268498673,0.7894736842105263,0.5263157894736842,68.0,40.50949753553748,117.55694087985819,14960.80647683146,0.34459468945298355,0.26697992310978214,0.0,1133.6971417017533,801.811879358813,1.4139191135560871,1935.5090210605663,0.0,58.573591203441744,41.426408796558256,58.573591203441744,41.426408796558256
C2,63.552879644833666,944.0956937799043,59.21165046538105,27.456952590594064,49.36052611613392,0.6971153846153846,0.3701923076923077,38.0,34.902842219086025,76.30742938656628,8367.14875542875,0.45739769377201134,0.3,2249.4303480272765,479.364530948693,834.7245793198945,0.5742786816452238,3563.519458295864,63.123840752170125,13.451997009101035,23.424162238728847,36.478845095270245,63.521154904729755
baseline_F1,65.015479876161,922.8571428571429,40.97651559042048,23.849528297222147,48.29906831399546,0.8,0.25,28.0,34.110408968524546,47.893840940145935,5132.352378771432,0.7122086744129194,0.2579979360165119,0.0,65.96681805822075,1086.63990917258,0.06070715561004111,1152.6067272308007,0.0,5.723271997267408,94.2767280027326,5.723271997267408,94.2767280027326
F1,65.45430743888204,916.67,65.18229130676521,29.4042631543319,50.319381961675816,0.6884422110552764,0.3316582914572864,40.0,35.57393584483074,84.60075081348926,9454.879702121034,0.42049196375640935,0.13333333333333333,2988.381725322807,1044.9003154927811,889.8401268364843,1.1742562332040016,4923.122167652073,60.700945935453426,21.224342600279474,18.074711464267104,54.00726074836212,45.99273925163787
baseline_F2,67.88061631289732,883.9047619047619,39.34935681921838,19.932636554154094,38.80979257867787,0.8,0.15,32.0,27.376175773836636,46.631051886055495,4010.4939505851858,0.5870803824183769,0.2693675250511798,0.0,193.82232419943722,854.4066942784303,0.2268501938214862,1048.2290184778676,0.0,18.490455881567414,81.50954411843259,18.490455881567414,81.50954411843259
F2,67.07452725250278,894.5273631840796,68.69603171686278,26.611604611522395,48.085132837499785,0.71,0.31,42.0,33.99909925277433,91.0515170109757,9725.332760115429,0.373405082846406,0.16666666666666666,1341.4052352482659,1495.985819831456,1104.2031548724717,1.354810311155317,3941.5942099521935,34.032048044451926,37.95382629835963,28.014125657188448,57.53373444719715,42.46626555280285
baseline_V1,66.04465876926302,908.4761904761905,54.68491482389867,27.95907723799196,48.55718278483627,0.7,0.3,28.0,33.42596296294244,57.7277662827863,6062.0365921894945,0.5790274787214423,0.2096655833944858,0.0,34.50327436410599,1062.6840421163322,0.032468046001135786,1097.187316480438,0.0,3.1447022623981593,96.85529773760184,3.1447022623981593,96.85529773760184
V1,69.01106910217283,869.4257425742575,119.55986499456198,38.39926950370744,56.95193050336135,0.5970149253731343,0.3333333333333333,85.0,40.267451948731555,164.47028031562817,20806.137028932844,0.24483117479617555,0.13333333333333333,8690.721186225448,2611.644966665599,1356.8087759491648,1.9248438047864225,12659.174928840212,68.6515609040696,20.630451679087972,10.717987416842425,65.81014007094913,34.189859929050876
baseline_V2,74.95111883554205,800.5217391304348,67.09426824817477,23.788322713479847,41.9436851894624,0.5909090909090909,0.36363636363636365,44.0,29.03659702758139,87.91806854600198,8019.988189557954,0.3302688230962259,0.162937214859874,0.0,358.64734240061375,756.791049543792,0.47390537007118827,1115.4383919444058,0.0,32.153039109172866,67.84696089082712,32.153039109172866,67.84696089082712
V2,68.38196050524817,877.4243902439024,73.8203514158852,27.86627732160695,49.573474880874606,0.7303921568627451,0.31862745098039214,50.0,35.052643443538656,98.49829086119175,10846.742810123675,0.3558705753883225,0.3,3039.6400672902373,1279.1411214562208,891.803976422949,1.4343299147273285,5210.5851651694065,58.33586767967955,24.548895774830566,17.11523654548989,58.92093368486535,41.07906631513465
baseline_V3,69.60556844547564,862.0,79.27397830539121,19.015210524538432,36.002645405448696,0.5714285714285714,0.14285714285714285,76.0,24.163464484072144,105.63334524721782,8018.813417378735,0.22874845464300547,0.2636574562328623,0.0,1372.403693628274,652.4093809668877,2.1035928263237658,2024.8130745951617,0.0,67.7792785342751,32.22072146572491,67.7792785342751,32.22072146572491
V3,68.7593776213036,872.6082474226804,95.35944551802822,29.873834231714184,48.646978296799965,0.6632124352331606,0.2538860103626943,50.0,34.3886412410641,130.22380469191415,14068.742112555474,0.2640733875225146,0.13333333333333333,1163.7992741932096,1542.9036891054218,651.2779284235703,2.3690403463234926,3357.9808917222017,34.65770984766783,45.947363575202345,19.394926577129823,70.3179571271308,29.682042872869197
baseline_V4,66.06543624161074,908.1904761904761,57.12444147699789,27.20955714450347,55.3497967475943,0.8,0.5,42.0,39.08068576675696,72.17880575348973,8861.79584457897,0.541442676403211,0.20973154362416108,0.0,520.2468060780219,1375.7035543851487,0.37816781414840417,1895.9503604631705,0.0,27.439895944898495,72.5601040551015,27.439895944898495,72.5601040551015
V4,66.61511925295902,900.6964285714286,74.72722291365949,28.19092455011519,51.683757238922155,0.7713004484304933,0.35874439461883406,49.0,36.54590000554242,98.86651376725662,11351.094901113182,0.36964891966936103,0.13333333333333333,3270.86765774507,994.7574240788792,783.0349027884034,1.270387080494787,5048.659984612353,64.78684775196274,19.70339510109154,15.509757146945727,55.95464717927882,44.045352820721185
