,bpm,ibi,sdnn,sdsd,rmssd,pnn20,pnn50,hr_mad,sd1,sd2,s,sd1/sd2,breathingrate,vlf,lf,hf,lf/hf,p_total,vlf_perc,lf_perc,hf_perc,lf_nu,hf_nu
baseline_C1,67.34366648850882,890.952380952381,26.652036803209565,10.816191566350884,27.331300737432898,0.7,0.0,20.0,19.31980848766364,32.95838284867751,2000.4080059640091,0.5861879988580467,0.2137894174238375,0.0,103.05150474574465,458.01682787023157,0.22499501868726512,561.0683326159763,0.0,18.367014988222184,81.6329850117778,18.367014988222184,81.6329850117778
C1,66.61224489795919,900.7352941176471,36.985801852048375,22.743982668030654,37.73331360568569,0.5960591133004927,0.15270935960591134,24.0,26.681249096737012,45.1096296986349,3781.1620653085874,0.5914756843491543,0.3,321.5083929154739,405.28597018811035,515.9669525027235,0.7854882337371618,1242.7613156063078,25.870486060198868,32.611730434366066,41.51778350543507,43.99291011249486,56.00708988750514
baseline_C2,69.81910504601714,859.3636363636364,87.53261493686767,31.08586601270161,59.76780467936292,0.8095238095238095,0.42857142857142855,57.0,42.26200536540675,118.19185755687134,15692.333587564988,0.3575712087025216,0.1586797841954935,0.0,745.6375129695755,2158.6914007409105,0.34541181417300143,2904.3289137104857,0.0,25.67331507976384,74.32668492023616,25.67331507976384,74.32668492023616
C2,63.913875795063916,938.7632850241546,50.53049019602088,36.25782485445977,51.647208504830765,0.6439024390243903,0.25365853658536586,30.0,36.52008875684521,61.580224272211154,7065.175647070766,0.5930489729204406,0.2,269.86845379881265,728.6580477157488,1239.5617504727732,0.5878352146940934,2238.088251987335,12.057989829452882,32.55716333208616,55.38484683846094,37.02117255330828,62.97882744669171
baseline_F1,64.1917192682144,934.7,45.163148694483205,19.33177310862989,34.37257168456451,0.5789473684210527,0.21052631578947367,26.0,23.994920976885513,56.716234906233474,4275.398389278332,0.42306970863907467,0.16047929817053602,0.0,141.09925812547522,628.9791230123766,0.2243305905762134,770.0783811378518,0.0,18.322713840763832,81.67728615923617,18.322713840763832,81.67728615923617
F1,64.86678088261358,924.9726775956284,48.756272590039096,34.04226934151215,51.05932769881469,0.6318681318681318,0.2802197802197802,30.0,36.10425554482241,58.6549375815277,6652.928317112769,0.6155365095161704,0.2,278.9086395322758,826.5255249234116,1484.7144629353313,0.5566898858716189,2590.1486273910186,10.768055415152464,31.91035125099932,57.32159333384822,35.76112949175604,64.23887050824396
baseline_F2,63.71455877668047,941.7,79.35307177419156,35.19128575084724,50.11775607191737,0.631578947368421,0.15789473684210525,47.0,35.37280674563035,109.12891053049785,12127.162963225168,0.32413781621823157,0.15928639694170119,0.0,1606.7095833236604,1215.9248351055535,1.3213889024515098,2822.634418429214,0.0,56.922340804509446,43.07765919549055,56.922340804509446,43.07765919549055
F2,64.64250734573947,928.1818181818181,39.84447157901322,22.246823300269302,37.616914520791255,0.5860215053763441,0.16666666666666666,26.0,26.59826142241026,49.62428674210811,4146.650195165863,0.5359928206250795,0.3333333333333333,394.4414303125214,467.1395637922198,426.25628913568494,1.0959124256897967,1287.8372832404261,30.628204001054936,36.273182169164585,33.09861382978048,52.28808285389668,47.71191714610331
baseline_V1,67.68536560352784,886.4545454545455,119.5566534678424,119.13733762099731,140.90591254619585,0.5238095238095238,0.2857142857142857,64.0,99.44271017882484,137.2093092972307,42865.35282288718,0.724751918715707,0.10255358424776946,0.0,994.6402372064692,897.740225342078,1.1079376963725427,1892.3804625485473,0.0,52.5602677099586,47.439732290041405,52.5602677099586,47.439732290041405
V1,67.29827597986746,891.5532994923858,58.59300777549605,43.26113163341987,55.96226862989099,0.6275510204081632,0.17346938775510204,32.0,39.56779395691959,72.66452092320971,9032.62800391855,0.5445270051217151,0.2,485.74950833129014,1132.004581029427,1022.6172205751079,1.106968040683689,2640.371309935825,18.397015090392586,42.872931423305786,38.73005348630162,52.53843529228329,47.46156470771671
