,bpm,ibi,sdnn,sdsd,rmssd,pnn20,pnn50,hr_mad,sd1,sd2,s,sd1/sd2,breathingrate,vlf,lf,hf,lf/hf,p_total,vlf_perc,lf_perc,hf_perc,lf_nu,hf_nu
baseline_C1,86.2987428084381,695.2592592592592,21.624047986053746,11.385914686771454,18.225088371633376,0.3076923076923077,0.0,16.0,12.886968786221274,27.666494379349942,1120.0948037315625,0.4657969531492218,0.21308331557639035,0.0,133.38966523616878,370.0866524536882,0.360428197968747,503.47631768985696,0.0,26.493731790248226,73.50626820975178,26.493731790248226,73.50626820975178
C1,87.32035655812261,687.125,35.74453629577533,11.191318654460806,18.299469616229157,0.24313725490196078,0.011764705882352941,24.0,12.938609371054813,48.886563294447505,1987.133210166731,0.26466596338802917,0.1,369.9073876575412,576.4794719336676,137.2000006801964,4.20174540142606,1083.5868602714052,34.13730834322694,53.20103935085345,12.661652305919624,80.77568349027906,19.224316509720943
baseline_C2,92.31716073443431,649.9333333333333,50.02528249684242,13.918738171791546,21.73190884549642,0.2413793103448276,0.034482758620689655,41.0,15.216237650230742,69.33967470009404,3314.659753348406,0.21944489523557148,0.2564365575956508,0.0,1049.7245658305671,279.72608341837736,3.752687461256617,1329.4506492489445,0.0,78.95927287136196,21.04072712863805,78.95927287136196,21.04072712863805
C2,85.6799946658369,700.2801556420234,37.23789484419249,13.060497659779038,20.62348479282781,0.29296875,0.0234375,22.0,14.582770520203693,50.670903848522094,2321.392438460594,0.2877937714274466,0.23333333333333334,252.1152511600793,741.4861901713522,203.2285026900596,3.6485344346712054,1196.829944021491,21.065252621683417,61.954181032592686,16.98056634572391,78.48784355470241,21.5121564452976
baseline_F1,91.21409100440344,657.7931034482758,30.26478471453059,9.462061733306223,16.54431279063249,0.17857142857142858,0.0,16.0,11.698595764327564,41.82653683576337,1537.2181886327774,0.27969314816245544,0.10484378276368211,0.0,129.7453122383342,224.8312224412234,0.5770787118868819,354.5765346795576,0.0,36.591623965074085,63.40837603492592,36.591623965074085,63.40837603492592
F1,89.02679503537873,673.9543973941368,38.54095336815265,12.102861649776532,19.010489020813157,0.26143790849673204,0.013071895424836602,20.0,13.442444905816892,52.90582152804257,2234.2491451147052,0.2540825284924791,0.13333333333333333,308.5369683268504,677.5592488774589,147.89085841372682,4.581481615192043,1133.9870756180362,27.208155627231832,59.7501738287609,13.041670544007266,82.08361025004302,17.91638974995697
baseline_F2,88.154828250076,680.6206896551724,50.66483089066368,14.122460038924535,25.01142596037716,0.42857142857142855,0.03571428571428571,38.0,17.677020133957146,70.50378119835351,3915.3567446654743,0.25072442688180197,0.25331847198297697,0.0,997.0219449689547,414.4176233350226,2.4058386729440424,1411.4395683039772,0.0,70.63865625979314,29.361343740206863,70.63865625979314,29.361343740206863
F2,88.13514054884156,680.7727272727273,34.266467155950906,10.801916659506194,17.857909815142964,0.23193916349809887,0.011406844106463879,20.0,12.61974837808003,46.28218474894565,1834.908531814397,0.27266967725346025,0.1,98.89151094248497,553.8895967725564,130.11106872257278,4.257052087963235,782.8921764376141,12.631562036099268,70.74915466557786,16.619283298322866,80.97793243689479,19.022067563105217
baseline_V1,92.1317377951922,651.2413793103449,35.53498050480418,11.123380414097808,18.388661102507086,0.2857142857142857,0.0,28.0,12.931037649542187,48.42970394798832,1967.4108542957008,0.26700633279587327,0.21179709837975222,0.0,215.92036512638302,254.20052311688036,0.8494096018327378,470.1208882432634,0.0,45.92868994467128,54.071310055328716,45.92868994467128,54.071310055328716
V1,88.33964049195838,679.1967871485944,45.8139838278181,13.105012405796776,20.279100953540098,0.28225806451612906,0.016129032258064516,26.0,14.339479595788813,63.31061189329835,2852.0673307541347,0.22649409264841897,0.13333333333333333,742.3729389122533,1047.8345459908096,133.68054559313325,7.83834731779127,1923.888030496196,38.58711770875696,54.464424612099656,6.948457679143379,88.68566753439258,11.314332465607416
