,bpm,ibi,sdnn,sdsd,rmssd,pnn20,pnn50,hr_mad,sd1,sd2,s,sd1/sd2,breathingrate,vlf,lf,hf,lf/hf,p_total,vlf_perc,lf_perc,hf_perc,lf_nu,hf_nu
baseline_C1,73.98670383873043,810.9565217391304,26.512471652395835,16.55743821762831,30.67127765071538,0.5454545454545454,0.045454545454545456,24.0,21.66346659987655,30.900266119905694,2103.003745945112,0.7010770236027555,0.3216813210379584,0.0,43.83627806534461,415.5991756931647,0.10547729790905257,459.4354537585093,0.0,9.541335503547371,90.45866449645263,9.541335503547371,90.45866449645263
C1,72.40629107555635,828.6572769953052,35.90519475543366,17.082597804180985,31.007302852532646,0.5707547169811321,0.09905660377358491,22.0,21.925424388208807,45.85956621143234,3158.8414155137157,0.4780992538639193,0.3333333333333333,243.09765221515931,781.54777932095,303.928678309424,2.571484151045697,1328.5741098455333,18.29763581976041,58.82605821754397,22.87630596269562,72.00043573741719,27.99956426258281
baseline_C2,75.88532883642496,790.6666666666666,53.98662385772568,19.979195228186082,32.240940756584095,0.5217391304347826,0.13043478260869565,41.0,22.56366753494651,72.71899978724069,5154.748268565401,0.31028572451440045,0.10539629005059023,0.0,241.82863336695274,371.41142910344587,0.6511071400002567,613.2400624703986,0.0,39.43457842476264,60.56542157523736,39.43457842476264,60.56542157523736
C2,72.41782079092273,828.5253456221199,29.781393272464754,14.899431383631912,28.03668232076605,0.5370370370370371,0.041666666666666664,20.0,19.82425246862144,37.191441460384866,2316.2727806604007,0.5330326464957698,0.3333333333333333,173.4572655720504,423.40572315024093,311.94224707857666,1.357320873064004,908.805235800868,19.08629690267952,46.589269787505394,34.324433309815085,57.5789612934527,42.42103870654731
baseline_F1,76.993583868011,779.2857142857143,18.54118416401934,5.235292162207248,13.800780356977588,0.0,0.0,15.0,9.234614583667026,22.64466968380764,656.9535097118243,0.4078052235961894,0.27497708524289644,0.0,0.0,70.53295549179168,0.0,70.53295549179168,0.0,0.0,100.0,0.0,100.0
F1,75.13344163378974,798.5791505791506,32.463649253135536,12.81066095377095,23.614146331738187,0.42248062015503873,0.023255813953488372,20.0,16.69771490569685,42.84423015072275,2247.497710447361,0.3897307723106601,0.13333333333333333,134.71507846630433,512.9568007344079,180.49988116983198,2.841867802958651,828.1717603705442,16.266562676084188,61.93845591944581,21.79498140447,73.97099402457594,26.029005975424056
baseline_F2,75.73744352909912,792.2105263157895,39.002805496080626,14.422205101855956,22.548712700383685,0.3888888888888889,0.05555555555555555,20.0,15.76916823001983,51.306390235645566,2541.7341214271764,0.30735290784624447,0.13287270794578793,0.0,471.87053115786597,48.89211480047693,9.651260394104757,520.7626459583429,0.0,90.61143974516408,9.38856025483593,90.61143974516408,9.38856025483593
F2,74.10199688513694,809.6947791164658,32.733609173592875,11.899367763615734,22.13230014430085,0.39919354838709675,0.004032258064516129,24.0,15.649895359582084,43.61060072181279,2144.141189101528,0.35885530353986733,0.3333333333333333,546.705659476362,102.63559821143605,150.78218265815244,0.6806878399162554,800.1234403459506,68.32766444637369,12.827470492185473,18.844865061440835,40.50055124752806,59.49944875247194
baseline_V1,75.86933614330874,790.8333333333334,28.97652306417885,11.27085338853541,19.147028376543812,0.2608695652173913,0.0,25.0,13.444276932234912,38.80132128009673,1638.8297419233734,0.34649018354772365,0.1053740779768177,0.0,324.06995592307965,82.91827437740373,3.9083055979683143,406.9882303004834,0.0,79.62637044413191,20.373629555868078,79.62637044413191,20.373629555868078
V1,74.83330968931763,801.781990521327,28.004228824532593,12.016938159160528,21.287599788654067,0.3476190476190476,0.004761904761904762,18.0,15.05259260784291,36.63586894593925,1732.4777960529116,0.410870358501797,0.13333333333333333,255.08473061906054,329.5096637966644,140.27135679052296,2.3490873071737965,724.865751206248,35.19061704799467,45.45802629636287,19.35135665564246,70.14111880995206,29.858881190047946
baseline_V2,77.0970394736842,778.24,50.127262043722276,21.435789128360906,35.19706427151749,0.625,0.08333333333333333,46.0,24.553725107744174,64.47132760641225,4973.176530449139,0.3808472078881479,0.2569901315789474,0.0,655.8390141009719,362.6893367035226,1.8082666010031667,1018.5283508044945,0.0,64.39084524087632,35.60915475912368,64.39084524087632,35.60915475912368
