,bpm,ibi,sdnn,sdsd,rmssd,pnn20,pnn50,hr_mad,sd1,sd2,s,sd1/sd2,breathingrate,vlf,lf,hf,lf/hf,p_total,vlf_perc,lf_perc,hf_perc,lf_nu,hf_nu
baseline_C1,73.98670383873043,810.9565217391304,88.61027433845628,36.126957037555606,52.829055366427774,0.5,0.2727272727272727,32.0,36.82076309694467,117.45067542174796,13586.205402314476,0.31349979865783456,0.1608406605189792,0.0,1622.6036717990203,510.7513706751136,3.1768953838621226,2133.355042474134,0.0,76.0587731293533,23.941226870646698,76.0587731293533,23.941226870646698
C1,74.05184597216038,810.243137254902,110.62880746504511,49.19210912054086,66.13562776478742,0.6141732283464567,0.2755905511811024,76.0,46.76261213281169,148.85809132681604,21868.605059684865,0.3141422257668545,0.13333333333333333,1037.4616416589786,10944.218030240592,863.7703676279141,12.67028650252914,12845.450039527484,8.076491197011741,85.19917944924856,6.724329353739696,92.68486436026788,7.315135639732131
baseline_C2,70.64641469445426,849.3,109.92229073304468,71.14764686425679,91.86342519680446,0.5555555555555556,0.3888888888888889,48.0,64.9435177198399,150.13419922781677,30631.291867183623,0.4325697812614517,0.11774402449075709,0.0,4172.101584190442,1929.6022821359495,2.1621562240132643,6101.703866326391,0.0,68.37600899012999,31.623991009870025,68.37600899012999,31.623991009870025
C2,72.74418788784529,824.8081632653061,95.83957649717061,43.6276726887969,60.37722945006316,0.610655737704918,0.2336065573770492,66.0,42.69258026363973,128.7813495229425,17272.50185937844,0.33151213604912577,0.16666666666666666,717.2170824385519,4976.635416339549,1043.1790047396273,4.7706437665333326,6737.031503517728,10.645891770938853,73.869855198703,15.484253030358154,82.67091089906697,17.329089100933047
baseline_F1,71.37684907416985,840.6086956521739,145.55851628646147,41.96968602997342,56.616733793592736,0.6818181818181818,0.13636363636363635,78.0,39.70240536460653,205.21724026620993,25596.497044237334,0.19346525327552477,0.1551670632047171,0.0,6349.849970359522,2343.617198733037,2.7094228416621364,8693.467169092559,0.0,73.04162823476024,26.958371765239768,73.04162823476024,26.958371765239768
F1,71.37490608564988,840.6315789473684,79.58398505611056,31.94746519748286,47.47347437496827,0.5865384615384616,0.2403846153846154,58.0,33.56680777672382,107.57172507449603,11343.786588209541,0.312041177674505,0.13333333333333333,1511.8125779774246,3579.8859855689298,508.39321742146785,7.041569129749296,5600.091780967822,26.996210724891892,63.92548775245688,9.078301522651223,87.5646160113135,12.435383988686496
baseline_F2,72.77713321379602,824.4347826086956,148.54653087045955,75.28590135044382,97.64499707893617,0.6363636363636364,0.4090909090909091,78.0,69.03574352679574,199.05719930472574,43171.96026525141,0.3468135981412695,0.15821115916042613,0.0,10355.30659105159,1021.5237313178858,10.13711798715829,11376.830322369477,0.0,91.02101637826719,8.978983621732796,91.02101637826719,8.978983621732796
F2,69.78607840081918,859.7703349282297,118.35598270266956,39.53438320780156,57.40041543671694,0.625,0.28846153846153844,98.0,40.585432483609885,162.3584886790766,20701.17758334694,0.2499741948438092,0.13333333333333333,1917.5285539439346,15431.60300483378,530.6970532502194,29.077988864501766,17879.828612027934,10.724535427895514,86.30733179652958,2.9681327755748974,96.67530962756553,3.3246903724344623
baseline_V1,67.39181839678412,890.3157894736842,130.20188883405524,92.3083444214389,147.14378722068784,0.8823529411764706,0.7058823529411765,98.0,104.03027241074912,162.15064122545732,52994.19248487348,0.641565593725303,0.11823126034523528,0.0,6112.113506184904,2050.2806824556887,2.9811106149935647,8162.394188640592,0.0,74.88138118459148,25.11861881540854,74.88138118459148,25.11861881540854
V1,71.87503706427242,834.7821782178218,75.93797677083217,30.978756820987936,45.55702784499503,0.6019900497512438,0.1791044776119403,51.0,32.20645296341774,102.26853812270518,10347.485282893875,0.3149204394099715,0.13333333333333333,688.9111350568476,6484.574175633863,944.1832809059497,6.867918874195563,8117.66859159666,8.486563934994864,79.88222360231161,11.631212462693538,87.29015873206697,12.709841267933037
