,bpm,ibi,sdnn,sdsd,rmssd,pnn20,pnn50,hr_mad,sd1,sd2,s,sd1/sd2,breathingrate,vlf,lf,hf,lf/hf,p_total,vlf_perc,lf_perc,hf_perc,lf_nu,hf_nu
baseline_C1,70.33997655334115,853.0,48.26489407426479,23.64402672981064,49.59838707054898,0.7333333333333333,0.4,35.0,35.056018662198994,60.552273101658045,6668.726634097205,0.5789381119243084,0.14654161781946073,0.0,0.0,1886.8831191532329,0.0,1886.8831191532329,0.0,0.0,100.0,0.0,100.0
C1,72.25794723806494,830.3584905660377,62.91251617970173,31.238378670632972,52.80851575733682,0.7203791469194313,0.35071090047393366,43.0,37.34117297821604,80.94127247074037,9495.281760308531,0.46133661898773065,0.23333333333333334,470.6835025994282,1731.6766734214327,1902.6815028932588,0.9101243013022451,4105.04167891412,11.465985961047174,42.18414352079129,46.349870518161524,47.64738612464955,52.35261387535045
baseline_C2,74.69957778499513,803.2173913043479,43.66169998257764,21.93924744635505,43.17196059733889,0.7727272727272727,0.22727272727272727,36.0,30.51195403187045,54.9584741809443,5268.106680489598,0.555181971235472,0.21652051531882646,0.0,5.375896014340031,1031.446282553906,0.005211998050959162,1036.822178568246,0.0,0.5184973976698337,99.48150260233017,0.5184973976698337,99.48150260233017
C2,72.38188315059708,828.9367088607595,68.51098808149375,23.870694171270515,46.63217046239536,0.7415254237288136,0.326271186440678,46.0,32.97325692467498,91.18426274098701,9445.64480510546,0.3616112685841086,0.23333333333333334,2065.7376495188114,1061.6191153878726,1283.5357050014488,0.8271052462749171,4410.892469908133,46.832645855949316,24.068125047944854,29.09922909610584,45.268615366367676,54.731384633632324
baseline_F1,70.33248081841433,853.0909090909091,45.454181816727264,30.407661046850283,52.31589032934813,0.6666666666666666,0.42857142857142855,44.0,36.88973580428234,52.82238239262454,6121.7191661197085,0.6983731920700563,0.21312872975277067,0.0,92.03710317060379,1351.84685269325,0.06808249247112616,1443.8839558638538,0.0,6.374272862914347,93.62572713708566,6.374272862914347,93.62572713708566
F1,70.52609175163981,850.7489711934156,44.91398671511204,22.357765564401028,41.94329111337697,0.6983471074380165,0.2892561983471074,34.0,29.65727092987931,56.174471107013744,5233.835269575805,0.5279492685099159,0.23333333333333334,48.33256853372488,721.339565432199,889.9184380597239,0.8105681763431322,1659.5905720256478,2.9123188181728197,43.4649110202978,53.62277016152939,44.76871884384189,55.23128115615812
baseline_F2,73.7937559129612,813.0769230769231,73.84647435827881,24.129281427805143,61.590042485237284,0.9166666666666666,0.6666666666666666,50.0,42.66861974696523,93.59487165438074,12546.151289127478,0.4558863001012311,0.0946073793755913,0.0,0.0,1093.347799627192,0.0,1093.347799627192,0.0,0.0,100.0,0.0,100.0
F2,70.03501750875438,856.7142857142857,60.124666404098086,25.43946741970798,46.023917227217844,0.7177033492822966,0.3014354066985646,43.0,32.542335414657295,78.63277321810055,8039.002845078508,0.413852062986459,0.2,831.8832996649015,930.7766791480766,1344.7886397402478,0.6921360365803361,3107.448618553226,26.77062123241838,29.953083490771608,43.27629527681002,40.90309653703047,59.09690346296953
baseline_V1,68.91600861450108,870.625,53.501022186496584,29.92256673482407,50.59644256269407,0.6666666666666666,0.4666666666666667,43.0,35.66510900025401,66.5067415129223,7451.764108704207,0.5362630642988916,0.14357501794687724,0.0,0.0,2329.5589495848785,0.0,2329.5589495848785,0.0,0.0,100.0,0.0,100.0
V1,69.38080900641445,864.7924528301887,55.62928456784964,24.447109208890396,44.580615514154275,0.6872037914691943,0.27488151658767773,37.0,31.52319782442991,72.27382486990788,7157.497073737845,0.4361634088298403,0.23333333333333334,218.56189745951792,527.9383049018999,1166.0981984237762,0.4527391480541845,1912.598400785194,11.427485109774745,27.60319702689081,60.969317863334446,31.164517639700733,68.83548236029925
baseline_V2,72.3725613593455,829.0434782608696,79.1077846226381,33.71930805246736,56.15886556740781,0.7272727272727273,0.2727272727272727,56.0,39.28661370656582,103.39996962769507,12761.886577686684,0.3799480197917111,0.20977554017201594,0.0,1160.346463899569,1024.2139654179934,1.1329141205627071,2184.5604293175625,0.0,53.11578697148017,46.88421302851984,53.11578697148017,46.88421302851984
V2,69.91135641411607,858.2296650717703,70.3616419015645,27.462425580909315,49.419514986880046,0.7355769230769231,0.3125,42.0,34.94396864834401,93.35200703298133,10248.156744767184,0.3743247709285809,0.2,977.6677094312234,2473.041382863933,1501.105536970073,1.6474800218615389,4951.814629265229,19.743624966354886,49.94212360552142,30.3142514281237,62.2282324420766,37.7717675579234
baseline_V3,70.4826997009825,851.2727272727273,59.06404983973817,25.70405440195015,50.38329277127677,0.7142857142857143,0.42857142857142855,42.0,35.62630432827271,77.2225925373264,8643.010167659344,0.4613456134751282,0.2135839384878257,0.0,331.37129041144317,1199.4735692161644,0.276263936876899,1530.8448596276075,0.0,21.646301277848124,78.35369872215188,21.646301277848124,78.35369872215188
V3,68.95652895107878,870.1134020618557,44.41565069398742,22.148178552717127,42.011841409926916,0.694300518134715,0.2538860103626943,30.0,29.70645941270032,55.345500080656635,5165.151706511314,0.5367457041567646,0.23333333333333334,189.6215860202479,499.44076477151026,1134.855264970812,0.4400920365685184,1823.9176157625702,10.396389857826343,27.382857671600302,62.22075247057335,30.559993763813804,69.44000623618619
baseline_V4,72.19083490269931,831.1304347826087,60.08639023202601,27.6884974775083,47.23827415829822,0.6818181818181818,0.36363636363636365,50.0,33.18648784078561,78.08844847430358,8141.378757874895,0.4249858780547577,0.2092487968194183,0.0,339.71988570298356,1123.9090040646738,0.3022663618445705,1463.6288897676573,0.0,23.210793943600837,76.78920605639917,23.210793943600837,76.78920605639917
V4,69.12030508272588,868.051724137931,50.07577789221159,23.828230353062054,42.65313638280359,0.7012987012987013,0.2510822510822511,34.0,30.16007343197687,64.17098044858683,6080.243079267224,0.46999552166950026,0.23333333333333334,103.15310804250291,730.8944287805612,1022.009833007739,0.7151540084791206,1856.057369830803,5.557646531793695,39.37887053820912,55.063482929997186,41.69619783084491,58.30380216915509
