,bpm,ibi,sdnn,sdsd,rmssd,pnn20,pnn50,hr_mad,sd1,sd2,s,sd1/sd2,breathingrate,vlf,lf,hf,lf/hf,p_total,vlf_perc,lf_perc,hf_perc,lf_nu,hf_nu
baseline_C1,57.05832628909551,1051.5555555555557,42.20876978678223,28.154787186595662,45.79493935565627,0.6470588235294118,0.23529411764705882,38.0,32.26533593679425,50.73003382790053,5142.2266620932205,0.6360203907265867,0.1584953508030431,0.0,383.94337540543467,523.3457382524584,0.7336323721436765,907.289113657893,0.0,42.31764380567739,57.682356194322615,42.31764380567739,57.682356194322615
C1,57.78277766414399,1038.3716814159293,67.22280937831044,49.10372390695651,68.70459539631558,0.7142857142857143,0.35714285714285715,36.0,48.581352386948815,82.09749426779736,12529.951070405918,0.5917519507779276,0.2,177.8877748603122,1342.5037144543169,1732.4516364853748,0.7749155509921504,3252.8431258000037,5.468685945823548,41.271701786237905,53.25961226793856,43.65929131439434,56.340708685605655
baseline_C2,62.23386832623649,964.1052631578947,101.40377587532357,76.62478727338406,94.64553754814739,0.7222222222222222,0.2222222222222222,24.0,66.34347586706214,119.61718774882762,24931.11383954339,0.5546316304172799,0.27295556283437056,0.0,120.66308303040054,432.88072837624713,0.2787444095351913,553.5438114066477,0.0,21.798289592250235,78.20171040774977,21.798289592250235,78.20171040774977
C2,57.90278134169335,1036.2196531791908,64.2320420093349,43.61830328919289,63.58641803199434,0.6686046511627907,0.3372093023255814,32.0,44.96058230940592,78.99344255701983,11157.652747038921,0.5691685392360515,0.16666666666666666,415.11133188901755,1075.7363113240744,1630.7778422141157,0.6596461415391452,3121.6254854272074,13.297922310888866,34.460774245532384,52.24130344357875,39.74619197604338,60.25380802395662
baseline_F1,59.33791380387258,1011.1578947368421,18.82121747249137,13.402137290395785,24.725155880870265,0.3888888888888889,0.05555555555555555,12.0,17.481736501592486,20.43674371878163,1122.3960805164243,0.8554071403032052,0.1561524047470331,0.0,22.174901285630888,215.83269581254487,0.10274115885060457,238.00759709817575,0.0,9.31688801365612,90.68311198634389,9.31688801365612,90.68311198634389
F1,57.920977615245704,1035.894117647059,65.26732783747916,41.66459717326003,62.151751678342826,0.7337278106508875,0.3254437869822485,43.0,43.945151716328965,81.15468464750933,11204.034446063146,0.5414986443136608,0.2,449.0690453046538,2208.2450982916366,1815.6920878907245,1.216200209836756,4473.006231487015,10.03953542795232,49.36825445819966,40.592210113848026,54.877722889771796,45.12227711022821
baseline_F2,60.24096385542169,996.0,58.96296786074602,66.39695441475878,80.20944804420209,0.7222222222222222,0.2222222222222222,28.0,55.91423105585823,46.54620696379085,8176.294497634523,1.2012628891405681,0.15852885225110971,0.0,278.7999123791365,309.89508053742406,0.8996590455570901,588.6949929165605,0.0,47.35897463606466,52.641025363935356,47.35897463606466,52.641025363935356
F2,58.8952675570362,1018.7575757575758,61.98412812630015,36.17799794578893,55.842054272570515,0.7258883248730964,0.3401015228426396,36.0,39.48622999536124,78.46894119755345,9734.044697028497,0.5032083954841533,0.2,587.8490969611706,868.8756823144175,964.2086014097813,0.9011283253893646,2420.9333806853692,24.281919595604478,35.890111196221255,39.827969208174274,47.39965805331983,52.60034194668015
baseline_V1,66.4841611263199,902.4705882352941,56.31227809598775,26.60709491846113,44.96665431183423,0.6875,0.25,44.0,31.756396993361825,74.6952140367775,7452.0175885659655,0.42514634174186855,0.13036110024768607,0.0,1577.8192873653416,534.2555167028363,2.9533046230441764,2112.074804068178,0.0,74.70470668587217,25.295293314127832,74.70470668587217,25.295293314127832
V1,61.216161066521565,980.1333333333333,82.1906108259119,48.6029716130017,70.36378472592942,0.7272727272727273,0.4019138755980861,50.0,49.752883070930125,105.12454205066119,16431.31198731195,0.4732756224227205,0.2,2378.6970538250753,2750.5680255734214,3389.8207695812207,0.8114198987320581,8519.085848979717,27.921975385539263,32.287126510209326,39.79089810425141,44.79468837126217,55.20531162873784
baseline_V2,62.5,960.0,68.8675311166682,39.54743986657038,58.1759782422646,0.6111111111111112,0.3333333333333333,36.0,40.57792381621524,81.67550972530803,10411.937407971298,0.49681873982405933,0.10964912280701754,0.0,478.6635542716097,738.5016297483078,0.6481550412214327,1217.1651840199174,0.0,39.326096453953205,60.6739035460468,39.326096453953205,60.6739035460468
V2,58.23940154695234,1030.2303664921467,62.147513413055336,38.541291308596186,59.11309410559425,0.7,0.3526315789473684,38.0,41.79875013042104,77.51302062009306,10178.59488939251,0.5392481133625942,0.16666666666666666,396.4103996763358,1932.320607846462,1946.0905471940644,0.9929243069560888,4274.821554716862,9.273144962950193,45.20236887348733,45.52448616356248,49.82247963409312,50.17752036590688
baseline_V3,67.86149295284496,884.1538461538462,32.63279651338548,11.550613259332453,22.6642155537461,0.4166666666666667,0.0,30.0,15.752865700493283,43.644237242096935,2159.9134608035656,0.3609380457976912,0.08700191404210893,0.0,0.0,197.23472670352987,0.0,197.23472670352987,0.0,0.0,100.0,0.0,100.0
V3,61.39376918555287,977.2978723404256,73.62597104618955,35.7351059610812,55.5044922785679,0.6898395721925134,0.3422459893048128,46.0,39.231423353490705,95.38698908106079,11756.36545857448,0.41128694522637105,0.16666666666666666,1163.0996502910643,1083.6196049761372,1373.9314549079431,0.7886999028264787,3620.6507101751445,32.12405016099443,29.928863392727507,37.94708644627808,44.09347267141828,55.906527328581724
baseline_V4,68.762278978389,872.5714285714286,73.6339540135763,12.710709271221445,31.452039190341367,0.7692307692307693,0.07692307692307693,63.0,21.64424571984584,97.84192056638271,6652.996536895706,0.22121648465762578,0.08185985592665357,0.0,0.0,235.7703541540646,0.0,235.7703541540646,0.0,0.0,100.0,0.0,100.0
V4,64.99017330712883,923.2164948453608,73.77036350760235,38.503156496791036,57.29190775581241,0.6994818652849741,0.32124352331606215,49.0,40.51104850375819,96.28626265999867,12254.276810656724,0.42073549626501566,0.16666666666666666,332.45431238686854,749.5147597443025,1919.1390034134354,0.390547406108257,3001.1080755446064,11.077718763145128,24.974600743370072,63.9476804934848,28.08587498654843,71.91412501345157
