,bpm,ibi,sdnn,sdsd,rmssd,pnn20,pnn50,hr_mad,sd1,sd2,s,sd1/sd2,breathingrate,vlf,lf,hf,lf/hf,p_total,vlf_perc,lf_perc,hf_perc,lf_nu,hf_nu
baseline_C1,72.44626901714561,828.2,30.860330523181375,15.847612261928676,25.60016447315586,0.3684210526315789,0.05263157894736842,21.0,18.07617001573268,40.73493807599814,2313.2541532716655,0.4437510125094195,0.18111567254286404,0.0,260.3469445548251,275.7416049375231,0.9441699761405752,536.0885494923482,0.0,48.5641681400138,51.435831859986195,48.5641681400138,51.435831859986195
C1,75.00729642961377,799.9221789883269,24.161457842138944,12.538067036030714,22.03902788237267,0.375,0.01953125,18.0,15.579680369946217,29.7864059676348,1457.8959199440667,0.5230466672237909,0.26666666666666666,121.42966278413715,82.6765043333375,264.9113166831037,0.3120912513988146,469.01748380057836,25.890220935935908,17.627595385866414,56.482183678197664,23.7857886077737,76.2142113922263
baseline_C2,75.93457943925233,790.1538461538462,11.934733755827368,8.117197107923948,15.895492023421818,0.08333333333333333,0.0,6.0,11.17785509140481,10.301024760241623,361.73354036660544,1.0851206895985193,0.19470404984423675,0.0,0.0,22.148918207759472,0.0,22.148918207759472,0.0,0.0,100.00000000000001,0.0,100.00000000000001
C2,76.07438384197881,788.7017543859649,23.23334333530508,11.10118872726596,19.049205933477523,0.27312775330396477,0.00881057268722467,14.0,13.468922197537042,29.837947172402114,1262.5589290282296,0.4514024413179066,0.3,104.66532065456687,94.18516334603626,155.07740431576215,0.6073429185999293,353.9278883163653,29.57249883654541,26.611399229960377,43.8161019334942,37.78552240295763,62.21447759704237
baseline_F1,75.98784194528875,789.6,20.20692950450414,10.936368989141993,18.766104195241663,0.2916666666666667,0.0,16.0,13.263227150450392,25.769747012943498,1073.7649789644363,0.514682086082902,0.1519756838905775,0.0,60.331712578712256,404.1116105853362,0.14929467750586198,464.4433231640485,0.0,12.990113016955178,87.00988698304482,12.990113016955178,87.00988698304482
F1,75.51740106151819,794.5188679245283,26.33339623385049,12.757575523957435,20.918709737017995,0.2843601895734597,0.014218009478672985,18.0,14.786474660575815,33.75914515215515,1568.2162760939805,0.4379990842164989,0.26666666666666666,179.65467012113558,206.8206319986139,341.58497439092844,0.6054734473241704,728.0602765106779,24.675796210466746,28.40707544021331,46.917128349319945,37.71307761790194,62.28692238209806
baseline_F2,79.54313685498674,754.3076923076923,41.44947733805136,11.57210438943583,21.331666601557412,0.32,0.0,37.0,14.794161010344586,55.94385757167627,2600.1153981667,0.2644465657626495,0.1529675708749745,0.0,228.12462658455954,537.2552175788167,0.4246112817900984,765.3798441633762,0.0,29.80541339364884,70.19458660635117,29.80541339364884,70.19458660635117
F2,75.47085800792556,795.0088495575221,28.88932055343832,12.7696739519655,23.110555548878043,0.39555555555555555,0.022222222222222223,18.0,16.340613947998737,37.35082870483963,1917.425436642609,0.4374899972669535,0.26666666666666666,65.00857462366848,87.34957991421818,228.10294859844214,0.38293928443682884,380.4611031363288,17.086786030890067,22.958872587539815,59.95434138157011,27.690245605595937,72.30975439440408
baseline_V1,76.97834342604946,779.44,26.823989263344114,13.999751981930093,23.667840346484226,0.4166666666666667,0.0,14.0,16.723133511529603,34.768230629572045,1826.6280376923921,0.4809889145553981,0.20527558246946526,0.0,102.50756886120038,294.98307121677834,0.34750322599315947,397.4906400779787,0.0,25.78867488328548,74.21132511671453,25.78867488328548,74.21132511671453
V1,75.56332115546076,794.0360360360361,38.88952426811753,17.135421007341225,26.550387509847702,0.3936651583710407,0.03167420814479638,21.0,18.773931786694966,51.72879097731054,3050.9664806813157,0.36293003242487637,0.23333333333333334,662.7440707940953,1217.785504262511,364.01321950493434,3.3454430746188972,2244.5427945615406,29.52690732383914,54.25539255536444,16.217700120796422,76.98738695161249,23.012613048387518
