,bpm,ibi,sdnn,sdsd,rmssd,pnn20,pnn50,hr_mad,sd1,sd2,s,sd1/sd2,breathingrate,vlf,lf,hf,lf/hf,p_total,vlf_perc,lf_perc,hf_perc,lf_nu,hf_nu
baseline_C1,62.70903010033445,956.8,55.99785710185703,33.92414546350965,52.20808568149493,0.5789473684210527,0.3157894736842105,34.0,36.203793743756236,62.27487988603383,7082.993663317684,0.581354694059804,0.20903010033444816,0.0,557.491619005006,1585.8727223962212,0.3515361675195772,2143.364341401227,0.0,26.010119149437052,73.98988085056294,26.010119149437052,73.98988085056294
C1,67.33615835606896,891.051724137931,60.52668901595597,30.680022317782196,45.80874980221091,0.5367965367965368,0.2554112554112554,34.0,32.3902884890443,79.3011344652466,8069.452864416347,0.408446722830166,0.13333333333333333,595.3472667090078,1671.540634426609,728.3611071699114,2.2949339523652976,2995.249008305528,19.876386405877074,55.80639972808914,24.31721386603379,69.65037799066835,30.349622009331664
baseline_C2,66.25999158603281,905.5238095238095,44.62715279333771,16.671832532748162,25.65540878645281,0.4,0.05,34.0,18.12443102555222,61.84379516168132,3521.3596825550057,0.2930678975662573,0.15776188472864955,0.0,1176.8187056905915,242.43283989430137,4.854205008709523,1419.251545584893,0.0,82.91826134355968,17.08173865644032,82.91826134355968,17.08173865644032
C2,65.04392141084959,922.4536082474227,54.928260733312285,27.86686303402647,42.12908856867121,0.5284974093264249,0.19689119170984457,36.0,29.788782795628165,71.84970935956031,6723.999093151463,0.41459851488827876,0.13333333333333333,506.9736413102896,1058.251534329807,458.9949717081294,2.3055841557295738,2024.2201473482262,25.045380660519385,52.279468501296186,22.675150838184432,69.74816090321892,30.25183909678108
baseline_F1,67.29331339457381,891.6190476190476,63.190171169465145,29.853642993778834,47.23134552392087,0.65,0.25,34.0,33.06992591464335,82.45495740099561,8566.429919086988,0.4010665575123327,0.16022217474898526,0.0,1093.9428874581938,1496.670241900113,0.730917777899671,2590.6131293583067,0.0,42.22718070332496,57.772819296675046,42.22718070332496,57.772819296675046
F1,66.56880483391937,901.3230769230769,57.24757955487305,29.444728372129568,43.10763321312263,0.5154639175257731,0.1958762886597938,38.0,30.479520486605775,74.88818745758456,7170.861298666309,0.40700037644613674,0.13333333333333333,760.2690214781899,2064.489190601136,680.881714090278,3.0320820017313697,3505.6399261696038,21.68702540733808,58.89050883947674,19.422465753185197,75.19891709616516,24.801082903834832
baseline_F2,69.38325991189427,864.7619047619048,46.98318317370362,27.719126970379136,41.21407526561769,0.65,0.15,32.0,28.821779958913016,57.7343485284107,5227.631190808371,0.49921373832996496,0.11013215859030837,0.0,384.97789622601266,236.25209859008442,1.6295215937699625,621.2299948160971,0.0,61.97026857017387,38.02973142982611,61.97026857017387,38.02973142982611
F2,66.94176983035304,896.3013698630137,59.147679489486784,25.99924895161998,39.90677209090703,0.5504587155963303,0.18807339449541285,36.0,28.218107557770544,78.7341192038592,6979.76387349154,0.3583974500903214,0.13333333333333333,801.4115018033201,1281.8833448325097,539.7267296868959,2.375059959650601,2623.0215763227257,30.552989309635695,48.87048419287543,20.576526497488867,70.37089675575649,29.629103244243513
baseline_V1,75.9493670886076,790.0,66.2268827591938,17.776176151336006,29.796410638808858,0.43478260869565216,0.13043478260869565,42.0,21.06843651088596,93.23819527747808,6171.2911940752865,0.22596358121460863,0.10548523206751054,0.0,2959.3680856241212,283.21343649512426,10.449250297752272,3242.5815221192456,0.0,91.2658036640502,8.734196335949795,91.2658036640502,8.734196335949795
V1,73.41206511330992,817.304347826087,59.239456188440876,23.638224778036722,36.81467626300026,0.5,0.17475728155339806,38.0,26.03186287638247,79.77944931816265,6524.4837661264955,0.32629785112412446,0.13333333333333333,584.9668624077309,2431.502262825264,462.3936132523572,5.258511781169955,3478.862738485352,16.814887691211904,69.89359585609594,13.291516452692148,84.0217605244635,15.978239475536498
