,bpm,ibi,sdnn,sdsd,rmssd,pnn20,pnn50,hr_mad,sd1,sd2,s,sd1/sd2,breathingrate,vlf,lf,hf,lf/hf,p_total,vlf_perc,lf_perc,hf_perc,lf_nu,hf_nu
baseline_C1,93.12913907284768,644.2666666666667,28.35363978202603,14.070993768605948,17.42372540235158,0.06896551724137931,0.06896551724137931,16.0,11.852040668773826,32.58326934396698,1213.2147009827104,0.3637462080203537,0.15521523178807947,0.0,134.6989916232852,20.832967404699033,6.465665164574818,155.53195902798421,0.0,86.60534623565654,13.394653764343472,86.60534623565654,13.394653764343472
C1,96.01198447465782,624.9219858156029,50.86877442655144,17.345968204038073,24.72741069860836,0.2846975088967972,0.06761565836298933,26.0,17.484351918909958,69.68406523705151,3827.655918425986,0.2509088965953927,0.13333333333333333,849.5628076919288,815.9613497136265,424.9954817879391,1.9199294690873172,2090.5196391934946,40.63883408527476,39.03150845444426,20.32965746028097,65.75259743131501,34.247402568685
baseline_C2,101.95412064570944,588.5,37.53997868939193,9.930036210745767,16.90199453777094,0.1935483870967742,0.0,24.0,11.69487200517739,49.63622087222784,1823.6607630409792,0.23561165212964136,0.21240441801189464,0.0,170.39124255681836,243.19840865435737,0.7006264699658653,413.5896512111757,0.0,41.19813976433803,58.80186023566197,41.19813976433803,58.80186023566197
C2,98.21864324060518,610.8819875776397,23.651028862099647,11.25706872404181,17.742007107409716,0.19937694704049844,0.009345794392523364,13.0,12.542979941923974,30.724335350929536,1210.6903956264218,0.4082425152134169,0.3,38.18009617488685,85.09532319523565,186.342069012482,0.4566618995173634,309.6174883826045,12.3313758451869,27.484017017178488,60.18460713763461,31.349889749204632,68.65011025079536
baseline_F1,87.98575468733634,681.9285714285714,23.12377961479198,10.44208011064065,20.235648778368375,0.2222222222222222,0.0,17.0,14.289962135451844,29.824176124102433,1338.9038984745596,0.47914021416683494,0.26186236514088196,0.0,137.85649484231564,99.75886308284562,1.3818972127602487,237.61535792516128,0.0,58.01666022182563,41.98333977817437,58.01666022182563,41.98333977817437
F1,94.76612762997739,633.1376146788991,34.6262176102473,12.126848163677346,19.165088403055503,0.25153374233128833,0.018404907975460124,18.0,13.547646634977992,46.54113747547846,1980.8460618896793,0.2910897191138906,0.13333333333333333,576.5358859246039,291.98928882629883,189.85556130949533,1.5379548895610646,1058.3807360603982,54.47339187886569,27.588303422185113,17.938304698949178,60.598196441034915,39.401803558965085
baseline_F2,96.07438016528926,624.516129032258,46.292109665402734,44.48440425837152,52.421369688324624,0.3333333333333333,0.1,30.0,37.01459171732142,54.022135380889104,6281.951556059777,0.6851745392207454,0.0,0.0,2370.3807315120744,257.3498185655534,9.21073403013991,2627.730550077628,0.0,90.20638480007202,9.793615199927968,90.20638480007202,9.793615199927968
F2,91.31246850016305,657.0844155844156,35.40204178180682,12.47343855376624,20.169638872512245,0.2996742671009772,0.016286644951140065,18.0,14.261694869141015,47.971481942028575,2149.33518427603,0.29729527402083694,0.3,224.86731952828754,183.99931950361233,184.63950336043155,0.9965327904095933,593.5061423923314,37.88795152513202,31.002091867480857,31.109956607387126,49.9131692300006,50.086830769999416
baseline_V1,91.15674769488683,658.2068965517242,23.266639296677813,9.957050624700928,18.845234335047607,0.32142857142857145,0.0,12.0,13.324061402023709,30.57643483709209,1279.8920577325694,0.435762425312593,0.2619446772841576,0.0,131.2818535236301,301.1484950491112,0.43593727241512764,432.4303485727413,0.0,30.359074925460863,69.64092507453914,30.359074925460863,69.64092507453914
V1,89.71377035173494,668.7936507936508,28.543566661908542,12.072809701290996,20.056493916115333,0.2868525896414343,0.01195219123505976,19.0,14.18186348757198,37.81954598410082,1684.9983666507358,0.3749876715477752,0.3,332.22154452441526,187.27616603718621,214.62957411567177,0.8725552702082715,734.1272846772732,45.25394321373872,25.510040281299986,29.23601650496129,46.59703689874121,53.402963101258784
