,bpm,ibi,sdnn,sdsd,rmssd,pnn20,pnn50,hr_mad,sd1,sd2,s,sd1/sd2,breathingrate,vlf,lf,hf,lf/hf,p_total,vlf_perc,lf_perc,hf_perc,lf_nu,hf_nu
baseline_C1,77.38607050730869,775.3333333333334,32.42769735204082,14.201892895482095,28.790094915046584,0.6086956521739131,0.08695652173913043,21.0,20.29480270939416,40.6637742109766,2592.64104211522,0.49908802375545036,0.2687016337059329,0.0,83.72064548352843,454.2024792425502,0.18432450131744102,537.9231247260786,0.0,15.563682175991351,84.43631782400864,15.563682175991351,84.43631782400864
C1,77.111583074661,778.0932203389831,28.062426561947046,13.702946982243972,28.304123449690493,0.6170212765957447,0.03829787234042553,21.0,20.01286503384345,34.18859842933379,2149.5147834254462,0.5853666413149137,0.3,17.30847195105945,152.4540728721107,425.7641924860378,0.35807161701863915,595.526737309208,2.906413913381119,25.59987038717186,71.49371569944701,26.36618073240571,73.63381926759428
baseline_C2,83.57441337190615,717.9230769230769,41.32230081177351,10.12687513500586,20.583488528429772,0.28,0.0,27.0,14.037207699539106,54.42164275359574,2399.9502869391004,0.25793428844283905,0.2678667095253402,0.0,68.35108170216782,245.88668412685294,0.2779779716208849,314.23776582902076,0.0,21.75138991389029,78.24861008610971,21.75138991389029,78.24861008610971
C2,76.79648930334612,781.2857142857143,35.39434470629748,15.51809143314962,30.244686076343623,0.5936254980079682,0.04780876494023904,23.0,21.386115742983264,44.92861028942833,3018.5944625870447,0.4760021644385338,0.3,158.44390763179698,537.0217235424972,449.15410872717797,1.1956291017003502,1144.619739901472,13.842493022655342,46.917041950431816,39.24046502691285,54.45496695113145,45.54503304886855
baseline_F1,77.23995880535531,776.8,21.99151351468713,11.574955370831226,22.984466804468497,0.42857142857142855,0.0,22.0,16.181685288483095,26.662861123017297,1355.440237046485,0.6068998077072044,0.2574665293511843,0.0,0.0,168.53339331629303,0.0,168.53339331629303,0.0,0.0,100.0,0.0,100.0
F1,75.84976548008649,791.0373831775701,32.28362196776948,14.806550113014206,28.664810508746562,0.539906103286385,0.051643192488262914,22.0,20.269081892162102,40.47900174552127,2577.5894400565567,0.5007307744293555,0.3,88.17715931292048,345.6928750092611,410.4344169591984,0.842260933111822,844.30445128138,10.443763405380155,40.94410191544194,48.6121346791779,45.71887282487895,54.28112717512106
baseline_F2,74.4801903382642,805.5833333333334,30.215774945474354,14.052561337750097,25.449011256098803,0.43478260869565216,0.0,19.0,17.887275683567974,37.672752685409534,2117.002777141866,0.4748067079923158,0.25861177200786184,0.0,127.55490459016809,233.91103143453103,0.5453137622791819,361.4659360246991,0.0,35.2882227279785,64.71177727202151,35.2882227279785,64.71177727202151
F2,74.18298469558243,808.8108108108108,43.68055899914424,16.92151854803641,31.485685895174537,0.5520361990950227,0.09502262443438914,29.0,22.26360957840472,57.753825421808784,4039.486917186342,0.38549151360625916,0.3,182.3635758027507,1155.1998519818537,406.8312554944029,2.8395061499834706,1744.3946832790073,10.454261157225881,66.22353662591881,23.322202216855317,73.9549837677873,26.045016232212703
baseline_V1,82.374062731017,728.3846153846154,26.775529762879394,10.939835464941876,21.406541056415442,0.32,0.0,25.0,15.126136320951229,35.41010025402359,1682.6935851802202,0.42717010718523657,0.2640194318301827,0.0,260.8724969950157,212.0175326804516,1.230428888106142,472.8900296754673,0.0,55.16557352119393,44.83442647880607,55.16557352119393,44.83442647880607
V1,79.19530289927631,757.6206896551724,22.994622749383055,11.887884139820228,23.8418308951494,0.47619047619047616,0.004329004329004329,16.0,16.858532439163373,27.830645965491765,1473.9845294695294,0.6057542631265865,0.3333333333333333,54.76508075854324,103.09474077721966,242.46232387431533,0.425199012901735,400.32214541007824,13.680252613165706,25.752944711967515,60.56680267486678,29.834360608770066,70.16563939122994
baseline_V2,80.3156263209807,747.0526315789474,20.929640739770115,10.266209706040252,21.400934559032695,0.5555555555555556,0.0,16.0,15.042532292728435,24.668793702085406,1165.7857389701524,0.6097798082221101,0.2818092151613358,0.0,10.31713990697951,247.5505979606767,0.04167689349964076,257.8677378676562,0.0,4.000942495673696,95.9990575043263,4.000942495673696,95.9990575043263
V2,77.54471448095549,773.7471264367816,25.527635865705616,12.463200269061938,25.486044446686144,0.5461538461538461,0.015384615384615385,16.0,18.02134172020634,31.35247034046446,1775.0425176926733,0.5747981426824745,0.3,35.93930510275674,259.4680396810819,324.6274892863133,0.7992793224366702,620.0348340701519,5.796336452072708,41.84733266965534,52.35633087827197,44.422192400580016,55.57780759941998
