,bpm,ibi,sdnn,sdsd,rmssd,pnn20,pnn50,hr_mad,sd1,sd2,s,sd1/sd2,breathingrate,vlf,lf,hf,lf/hf,p_total,vlf_perc,lf_perc,hf_perc,lf_nu,hf_nu
baseline_C1,111.05626850937809,540.2666666666667,17.54030279733569,6.094494002200441,11.710800875382398,0.07142857142857142,0.0,16.0,8.121525944886796,23.1948270094864,591.8050224677488,0.35014384636562246,0.12339585389930897,0.0,0.0,58.342151108358706,0.0,58.342151108358706,0.0,0.0,100.0,0.0,100.0
C1,107.8830642874159,556.1577287066247,44.26120181387327,11.54964622107873,17.248004837837794,0.1550632911392405,0.012658227848101266,26.0,12.196177898328305,61.49563681449275,2356.231330268792,0.19832590619590132,0.13333333333333333,599.3433525084856,1178.4768308367911,297.16070008484337,3.9657896569106215,2074.9808834301202,28.884283093621566,56.7945873741578,14.321129532220624,79.86221589937153,20.137784100628465
baseline_C2,107.74268511672125,556.8823529411765,47.34899508585307,12.229516147314612,20.042379342208093,0.18181818181818182,0.0,40.0,14.169769551619584,66.40015599570111,2955.8457009639324,0.21339964250290264,0.2640752086194148,0.0,1315.640729463387,149.24164600519288,8.81550669454295,1464.88237546858,0.0,89.81203893879506,10.18796106120494,89.81203893879506,10.18796106120494
C2,106.47818570121021,563.4957020057307,44.67851555614717,10.118834152099794,15.696840592861392,0.12643678160919541,0.008620689655172414,30.0,11.09875915360076,62.242566401687384,2170.26012567972,0.17831461321781028,0.13333333333333333,459.30172505126654,1002.369117790295,270.59306091274857,3.704341546709153,1732.2639037543101,26.514535346249993,57.86468883972443,15.620775814025576,78.74304001801198,21.256959981987997
baseline_F1,91.47890902930713,655.8888888888889,58.41031956853828,13.649087070374755,26.090340786447026,0.5294117647058824,0.0,43.0,18.40640779051863,82.18352321414113,4752.298020261954,0.22396712954929002,0.08470269354565474,0.0,0.0,365.762130113916,0.0,365.762130113916,0.0,0.0,100.0,0.0,100.0
F1,104.3313310148593,575.0909090909091,53.357855101703926,16.498057775613155,22.66074654468083,0.24213836477987422,0.03773584905660377,34.0,16.022024614088714,73.74107118617377,3711.7328392746253,0.21727409646163096,0.13333333333333333,373.74836904104995,1590.5217116683025,256.0096199519727,6.21274197417536,2220.279700661325,16.83339125830527,71.63609662307658,11.530512118618141,86.13564711478078,13.864352885219231
baseline_F2,104.425658876181,574.5714285714286,30.560745797075526,10.49542024665264,15.9422033029894,0.23076923076923078,0.0,9.0,11.10146853124828,39.01539674836017,1360.7123687826668,0.2845407058872182,0.24863252113376427,0.0,0.0,0.0,,0.0,,,,,
F2,106.02002600491203,565.930817610063,44.00380479502235,11.059056903883787,17.14219617172506,0.2113564668769716,0.0031545741324921135,34.0,12.119310545784597,60.96884003051624,2321.3237728954855,0.19877876206466477,0.16666666666666666,740.5113150814101,552.839539793106,344.1920747492195,1.6061948555785557,1637.5429296237357,45.220879507052686,33.76030819052384,21.018812302423473,61.629883588347134,38.37011641165286
baseline_V1,92.62435677530017,647.7777777777778,52.985905416813495,11.314754466582706,18.973665961010276,0.23076923076923078,0.038461538461538464,48.0,13.372231229205441,74.2829230895089,3120.6332792336,0.18001756895178003,0.1715265866209262,0.0,784.111957909996,85.95078763724207,9.122801308341286,870.0627455472381,0.0,90.12131158619115,9.878688413808836,90.12131158619115,9.878688413808836
V1,102.444730654252,585.6816608996539,62.51396280856253,11.918979233651775,17.52973663996886,0.19444444444444445,0.010416666666666666,46.0,12.39537133437217,87.67938938604425,3414.3412975351453,0.14137155175427255,0.1,1020.9278685701373,610.4794339223317,123.53878769283982,4.941601300477344,1754.946090185309,58.17431511314032,34.7862214877421,7.0394633991175795,83.16952031231614,16.83047968768387
