,bpm,ibi,sdnn,sdsd,rmssd,pnn20,pnn50,hr_mad,sd1,sd2,s,sd1/sd2,breathingrate,vlf,lf,hf,lf/hf,p_total,vlf_perc,lf_perc,hf_perc,lf_nu,hf_nu
baseline_C1,97.15837860426244,617.5483870967741,78.08962539398391,24.52255197885317,39.00598244714094,0.6,0.13333333333333333,50.0,27.579420669122918,108.23029972137088,9377.430908437007,0.2548216233358278,0.10447137484329293,0.0,1813.834902262355,1534.5783783789436,1.1819760579309118,3348.4132806412986,0.0,54.16998292143208,45.83001707856793,54.16998292143208,45.83001707856793
C1,96.74783461349894,620.168918918919,57.09698819546812,19.788361411261864,29.575069666235983,0.41694915254237286,0.09152542372881356,41.0,20.90955832668003,77.70467060949623,5104.36657134358,0.2690901095477353,0.16666666666666666,391.7066438144439,1377.8215769700864,1100.3956037014846,1.2521147597604017,2869.923824486015,13.648677378557116,48.008994706221706,38.34232791522118,55.597289362537275,44.40271063746273
baseline_C2,102.04081632653062,588.0,87.65911938937792,68.76397585218587,81.03548605395046,0.46875,0.21875,46.0,57.2073394548287,110.54661771171473,19867.676624299846,0.5174951585042152,0.25767882910740053,0.0,1584.2603113685127,672.3857950525235,2.3561775442396997,2256.646106421036,0.0,70.20419847226712,29.79580152773287,70.20419847226712,29.79580152773287
C2,93.46999930542464,641.9171974522293,37.781548049774855,14.973938851771779,23.26702887323303,0.329073482428115,0.04153354632587859,22.0,16.452268310550405,50.919035291613994,2631.817819972814,0.3231064417526382,0.1,153.15794023523432,366.9664505236641,191.72682899811204,1.9140067795481959,711.8512197570105,21.51544255097499,51.55100396525661,26.93355348376838,65.6829899292463,34.3170100707537
baseline_F1,88.02263439170073,681.6428571428571,62.282888205873256,21.321756117886192,36.0842635240637,0.5555555555555556,0.07407407407407407,51.0,25.506340156969163,85.10240744589086,6819.30108585617,0.2997134972143579,0.20957770093262074,0.0,430.9785328965602,893.0103252350694,0.48261315767330304,1323.9888581316295,0.0,32.55152263930251,67.4484773606975,32.55152263930251,67.4484773606975
F1,93.88926056537665,639.0507246376811,46.70642547481364,15.713225045238612,24.102508356826867,0.32727272727272727,0.04,34.0,17.042636664049663,63.84450117730196,3418.2998511519572,0.26693977319551326,0.13333333333333333,522.7640549346289,1397.654890104697,218.14587818487752,6.406973634955374,2138.5648232242033,24.44462048835558,65.35480593931798,10.20057357232643,86.4992094034094,13.500790596590598
baseline_F2,88.09956649419662,681.047619047619,67.19302414931974,27.25876005984131,43.89077351790465,0.6,0.25,50.0,31.03256354218903,86.26922974038891,8410.531591559004,0.3597176378597064,0.13984058173682004,0.0,955.8503482489837,380.24653630734576,2.513764773589913,1336.0968845563293,0.0,71.54049674821208,28.45950325178793,71.54049674821208,28.45950325178793
F2,95.70814019408411,626.9059233449477,55.92318212878053,20.12966549475439,30.292051624285726,0.3986013986013986,0.0979020979020979,36.0,21.419413184920966,76.17739735491489,5126.058662075942,0.2811780649990795,0.16666666666666666,248.1093663501284,1285.6793602599112,1024.5311193001166,1.2548953721759,2558.319845910156,9.698137109273771,50.25483276906347,40.047030121662765,55.65204433254776,44.34795566745222
baseline_V1,85.19570317323127,704.2608695652174,110.35327358328888,36.866634784457595,59.59103044159338,0.6363636363636364,0.3181818181818182,112.0,41.634031296326214,150.21704682566755,19647.964138853138,0.27715916519543915,0.12347203358439313,0.0,5205.703500206186,1552.6326615237817,3.3528236454186233,6758.336161729967,0.0,77.02640673135227,22.97359326864774,77.02640673135227,22.97359326864774
V1,97.30689553122225,616.6058394160584,50.36796828019712,15.858722972303955,24.088664061415617,0.3333333333333333,0.040293040293040296,34.0,17.02172065599193,68.28356620150169,3651.485045631868,0.2492799014884725,0.1,455.0042504913837,1469.310895337971,239.83920846890499,6.126233090568536,2164.1543542982595,21.02457477617957,67.89307298805885,11.08235223576159,85.9673408476705,14.032659152329515
baseline_V2,100.30299864173023,598.1875,69.63720157896927,25.02610499701342,33.406586176980134,0.3548387096774194,0.06451612903225806,58.0,23.61457776540799,97.17052177367881,7208.826814775378,0.2430220331677237,0.20896458050360464,0.0,2002.22231897825,1966.2662212767918,1.0182864849695228,3968.4885402550417,0.0,50.4530200520517,49.5469799479483,50.4530200520517,49.5469799479483
V2,98.00429468456458,612.2180685358255,33.691135822788326,12.269620766348078,19.099738218101315,0.240625,0.025,20.0,13.50555152057849,45.52414795331155,1931.5414076045618,0.2966678593178603,0.2,447.83262662886807,644.6323851223474,476.65729182746463,1.352402231487701,1569.1223035786802,28.540326372743603,41.08235436155239,30.377319265703985,57.4902630759884,42.509736924011605
baseline_V3,99.58239640218439,602.516129032258,46.104979066181436,37.85597589311959,47.41598741003888,0.41379310344827586,0.06896551724137931,34.0,32.996090281132794,50.724970104990696,5258.164341542422,0.6504900882708731,0.2141556911874933,0.0,194.9884644177744,741.0380940936509,0.26312879995226285,936.0265585114253,0.0,20.831509816117503,79.1684901838825,20.831509816117503,79.1684901838825
V3,96.27426424546023,623.219512195122,43.54112840954723,18.649366133614546,25.43565365907116,0.308868501529052,0.03058103975535168,29.0,17.98572318624164,58.89235276778748,3327.642654668688,0.30539997709310984,0.1,321.13305669785336,529.9371060903612,189.618870100933,2.794748781111705,1040.6890328891477,30.857734303812908,50.921753698043354,18.22051199814372,73.6477944211358,26.3522055788642
baseline_V4,97.40259740259741,616.0,114.26059631809972,32.30335379905106,41.84574848974106,0.3333333333333333,0.13333333333333333,72.0,29.475601963507227,160.9422601777144,14903.30714191654,0.18314395442787937,0.10473397570171764,0.0,7963.534897430545,1689.6211969512553,4.713207263142715,9653.1560943818,0.0,82.49669661993111,17.503303380068886,82.49669661993111,17.503303380068886
V4,95.13636211903729,630.6736842105263,46.96451264337895,14.967761096689442,22.58162034630794,0.31690140845070425,0.03169014084507042,30.0,15.967206120526468,64.5555577061175,3238.265416374645,0.24734053407478135,0.1,489.2732012406462,1244.0790606624544,212.1042408805048,5.865413418882762,1945.4565027836052,25.1495317700798,63.947924761226815,10.90254346869339,85.43423477966263,14.565765220337369
